match_id,match_date,x,y,xg,is_goal,shot_outcome,shot_body_part,shot_technique,n_defenders_in_cone,n_defenders_closer,dist_nearest_defender,gk_dist_center_goal,gk_dist_to_shooter,n_defenders_total,team_ratio_cone
3773372,2021-05-08,108.2,40.2,0.099288896,0,Off T,Left Foot,Half Volley,1,4,2.5495097567963985,2.7166155414412274,9.113725912051553,9,0.0
3773372,2021-05-08,96.6,52.5,0.017875105,0,Off T,Right Foot,Half Volley,0,4,2.941088233970555,2.523885892824787,24.018742681497727,7,0.0
3773372,2021-05-08,105.2,27.9,0.037850484,0,Blocked,Right Foot,Half Volley,4,6,2.6925824035672523,3.1016124838541614,16.502424064360973,8,0.25
3773387,2021-05-11,101.1,21.8,0.016432509,0,Off T,Left Foot,Half Volley,1,9,4.792702786528705,3.420526275297411,23.29484921608209,9,1.0
3773387,2021-05-11,101.2,54.5,0.018008176,0,Blocked,Right Foot,Normal,1,4,1.0630145812734646,4.25205832509386,19.499999999999996,5,0.0
3773387,2021-05-11,112.9,27.3,0.043615576,0,Saved,Right Foot,Normal,1,6,0.806225774829866,2.9154759474226504,11.636150566231082,9,0.0
3773387,2021-05-11,107.6,44.4,0.06563735,0,Saved,Head,Normal,0,2,0.565685424949241,3.006659275674582,10.46518036156091,8,0.0
3773387,2021-05-11,108.3,43.1,0.112418555,0,Off T,Head,Normal,0,3,3.605551275463989,2.280350850198279,9.82344135219425,8,1.0
3773387,2021-05-11,114.1,40.3,0.29242352,1,Goal,Head,Normal,0,2,0.9055385138137412,1.8110770276274808,4.1012193308819835,8,0.0
3773387,2021-05-11,108.4,29.3,0.073563784,0,Blocked,Right Foot,Normal,2,5,2.236067977499793,3.780211634287158,12.073938876770908,9,0.0
3773387,2021-05-11,104.8,28.2,0.06810596,1,Goal,Left Foot,Volley,0,2,2.0808652046684832,4.318564576337838,14.940214188558343,8,0.0
3773387,2021-05-11,96.0,37.3,0.04825952,0,Saved,Right Foot,Normal,0,5,4.33243580448689,2.7166155414412274,21.51023012429202,7,0.0
3773387,2021-05-11,109.6,44.5,0.04024041,0,Wayward,Head,Normal,1,5,1.2369316876853036,2.1213203435596424,9.392017887546857,9,0.0
3773387,2021-05-11,92.5,39.2,0.033267852,0,Off T,Left Foot,Normal,1,7,7.083078426785918,2.9832867780352657,24.60020325119286,9,0.0
3773387,2021-05-11,93.6,40.0,0.0370884,0,Blocked,Right Foot,Normal,1,7,4.229657196511323,3.0999999999999943,23.30000000000001,8,1.0
3773387,2021-05-11,113.4,32.8,0.07768235,1,Goal,Right Foot,Normal,0,3,0.8246211251235335,4.134005321718878,5.74891294072192,8,0.0
3773387,2021-05-11,100.5,39.7,0.034326866,0,Blocked,Left Foot,Normal,2,4,1.6124515496597045,3.640054944640259,16.01530517973354,9,0.0
3773387,2021-05-11,91.9,33.3,0.026078822,0,Blocked,Right Foot,Normal,0,7,5.748912940721924,2.692582403567252,26.226894593146167,9,1.0
3773387,2021-05-11,100.7,30.0,0.030130971,0,Blocked,Right Foot,Half Volley,2,9,2.4166091947189168,1.9697715603592172,19.77093826807418,9,0.5
3773695,2021-05-02,106.4,27.0,0.06899321,0,Off T,Left Foot,Normal,0,2,2.8653097563788763,4.103656905736636,14.718695594379277,5,0.0
3773695,2021-05-02,99.6,39.7,0.07683218,0,Saved,Right Foot,Normal,0,6,5.442425929675119,2.9274562336608945,17.500285711953392,7,0.0
3773695,2021-05-02,113.8,32.5,0.4286973,0,Saved,Right Foot,Normal,0,1,5.5443665102516455,4.808326112068526,4.964876634922564,6,0.0
3773695,2021-05-02,115.6,44.2,0.5143056,1,Goal,Head,Normal,0,2,1.7492855684535857,4.472135954999585,5.0,7,0.0
3773695,2021-05-02,114.0,51.5,0.0907733,0,Off T,Right Foot,Half Volley,0,3,6.095900261651269,3.4132096331751995,9.570788891204321,5,0.0
3773695,2021-05-02,104.0,44.3,0.028735718,0,Blocked,Left Foot,Volley,2,7,1.2369316876853003,1.3000000000000027,15.280052355931241,10,0.5
3773695,2021-05-02,91.1,32.9,0.026329285,1,Goal,Right Foot,Normal,1,5,3.3421549934136845,1.341640786499877,28.45241641759097,8,0.0
3773695,2021-05-02,101.1,42.8,0.050553743,0,Blocked,Right Foot,Normal,2,5,2.8000000000000114,1.8027756377319977,17.340126873814967,9,0.0
3773695,2021-05-02,87.9,44.5,0.016389068,0,Off T,Right Foot,Half Volley,1,9,9.027181176868005,1.802775637731992,30.617805277321885,10,1.0
3773369,2021-03-15,107.1,57.2,0.041122954,0,Saved,Right Foot,Normal,0,3,2.200000000000003,4.770744176750622,16.743058263053385,6,0.0
3773369,2021-03-15,104.1,43.0,0.10047175,0,Saved,Right Foot,Normal,1,4,1.6763054614240223,3.220248437620928,13.098091464026353,7,0.0
3773369,2021-03-15,108.0,40.0,0.7835,1,Goal,Right Foot,Normal,0,0,99.0,0.8944271909999126,11.207140580897523,0,0.0
3773369,2021-03-15,119.3,42.5,0.8665923,0,Off T,Other,Normal,0,1,2.200000000000003,3.2756678708318434,5.700000000000003,6,0.0
3773369,2021-03-15,108.1,39.9,0.054010592,0,Off T,Head,Normal,1,5,0.9219544457292917,0.9000000000000057,11.000454536063499,9,1.0
3773369,2021-03-15,117.1,33.5,0.17957594,0,Wayward,Head,Normal,0,2,3.6235341863986816,3.2572994949804674,3.894868418830091,8,0.0
3773369,2021-03-15,104.4,57.7,0.03496348,0,Saved,Right Foot,Normal,0,6,1.7029386365926342,3.220248437620928,20.388722372919784,8,0.0
